id,track_id,track_artist,artist_clean,track_name,track_name_clean,artist_track_key,energy,tempo,danceability,playlist_genre,loudness,liveness,valence,time_signature,speechiness,track_popularity,track_href,uri,track_album_name,track_album_release_date,instrumentalness,track_album_id,mode,key,duration_ms,acousticness,type
1Ftb0PK0Qqwax3gofiMd2X,1Ftb0PK0Qqwax3gofiMd2X,"lil tecca, don toliver",lil tecca don toliver,i can’t let go,i cant let go,lil tecca don toliver_i cant let go,0.761,147.216,0.649,hip-hop,-4.204,0.207,0.313,4,0.152,73,https://api.spotify.com/v1/tracks/1Ftb0PK0Qqwax3gofiMd2X,spotify:track:1Ftb0PK0Qqwax3gofiMd2X,PLAN A,2024-09-20T00:00:00Z,0,6uWva3kfeqqVIsNAJ2MmeL,1,8,150204,0.00694,audio_features
4ppKM7xnkSAwSyKqD4QTY4,4ppKM7xnkSAwSyKqD4QTY4,lil uzi vert,lil uzi vert,chill bae,chill bae,lil uzi vert_chill bae,0.663,184.057,0.672,hip-hop,-5.984,0.134,0.381,4,0.243,76,https://api.spotify.com/v1/tracks/4ppKM7xnkSAwSyKqD4QTY4,spotify:track:4ppKM7xnkSAwSyKqD4QTY4,Eternal Atake 2,2024-11-01T00:00:00Z,0,7awBKnBq0qRLNyD5lI47R0,1,3,138324,0.112,audio_features
26TX1oZbaDeKxfTYDclSAo,26TX1oZbaDeKxfTYDclSAo,bigxthaplug,bigxthaplug,2am,2am,bigxthaplug_2am,0.681,114.991,0.884,hip-hop,-5.839,0.277,0.324,4,0.149,69,https://api.spotify.com/v1/tracks/26TX1oZbaDeKxfTYDclSAo,spotify:track:26TX1oZbaDeKxfTYDclSAo,TAKE CARE,2024-10-11T00:00:00Z,0,6LU7SYL9BWAt3TgEK4DdAc,1,8,184294,0.0439,audio_features
1qIwin7JMVuX70qN6wD8ww,1qIwin7JMVuX70qN6wD8ww,"drake, young thug, 21 savage",drake young thug 21 savage,it's up (feat. young thug & 21 savage),its up feat young thug  21 savage,drake young thug 21 savage_its up feat young thug  21 savage,0.723,139.942,0.783,hip-hop,-4.881,0.159,0.294,4,0.135,76,https://api.spotify.com/v1/tracks/1qIwin7JMVuX70qN6wD8ww,spotify:track:1qIwin7JMVuX70qN6wD8ww,100 GIGS,2024-08-30T00:00:00Z,0,5oT8PMXGWiPlhcl930fkII,1,1,278001,0.0264,audio_features
2JapCT0xikq6Fy1PQiJz1C,2JapCT0xikq6Fy1PQiJz1C,babychiefdoit,babychiefdoit,the viper,the viper,babychiefdoit_the viper,0.831,139.905,0.652,hip-hop,-5.972,0.269,0.648,4,0.264,68,https://api.spotify.com/v1/tracks/2JapCT0xikq6Fy1PQiJz1C,spotify:track:2JapCT0xikq6Fy1PQiJz1C,The Viper,2024-09-20T00:00:00Z,0,3cQR7hyzZEbwAESuPEu8qR,0,10,150997,0.0111,audio_features
1JF8LkQWZ8grXb2emqrNKn,1JF8LkQWZ8grXb2emqrNKn,latto,latto,brokey,brokey,latto_brokey,0.525,75.013,0.776,hip-hop,-6.723,0.108,0.467,4,0.137,70,https://api.spotify.com/v1/tracks/1JF8LkQWZ8grXb2emqrNKn,spotify:track:1JF8LkQWZ8grXb2emqrNKn,Sugar Honey Iced Tea,2024-08-09T00:00:00Z,0,1S9LGRodo5jsXGsMeVaYNp,1,1,217613,0.0366,audio_features
0U60hgxzGit7juEuHul2y3,0U60hgxzGit7juEuHul2y3,rod wave,rod wave,25,25,rod wave_25,0.5,63.925,0.427,hip-hop,-8.269,0.127,0.269,5,0.141,76,https://api.spotify.com/v1/tracks/0U60hgxzGit7juEuHul2y3,spotify:track:0U60hgxzGit7juEuHul2y3,Last Lap,2024-10-11T00:00:00Z,0,4ffJTc6OVVJ7rr65r5CGbq,1,0,180000,0.286,audio_features
3lUYO6zvXI88sNDpyKvIJ2,3lUYO6zvXI88sNDpyKvIJ2,"nle choppa, 41, kyle richh",nle choppa 41 kyle richh,or what,or what,nle choppa 41 kyle richh_or what,0.586,125.845,0.731,hip-hop,-7.564,0.0987,0.147,4,0.172,77,https://api.spotify.com/v1/tracks/3lUYO6zvXI88sNDpyKvIJ2,spotify:track:3lUYO6zvXI88sNDpyKvIJ2,Or What,2024-09-06T00:00:00Z,0,0O5WgUe2bObIlk6R0nwOs2,0,1,199165,0.116,audio_features
28drn6tQo95MRvO0jQEo5C,28drn6tQo95MRvO0jQEo5C,"future, metro boomin, travis scott, playboi carti",future metro boomin travis scott playboi carti,type shit,type shit,future metro boomin travis scott playboi carti_type shit,0.552,144.941,0.64,hip-hop,-5.679,0.119,0.112,4,0.129,84,https://api.spotify.com/v1/tracks/28drn6tQo95MRvO0jQEo5C,spotify:track:28drn6tQo95MRvO0jQEo5C,WE DON'T TRUST YOU,2024-03-22T00:00:00Z,0,4iqbFIdGOTzXeDtt9owjQn,1,2,228267,0.0215,audio_features
6AI3ezQ4o3HUoP6Dhudph3,6AI3ezQ4o3HUoP6Dhudph3,kendrick lamar,kendrick lamar,not like us,not like us,kendrick lamar_not like us,0.472,101.061,0.898,hip-hop,-7.001,0.141,0.214,4,0.0776,88,https://api.spotify.com/v1/tracks/6AI3ezQ4o3HUoP6Dhudph3,spotify:track:6AI3ezQ4o3HUoP6Dhudph3,Not Like Us,2024-05-04T00:00:00Z,0,5JjnoGJyOxfSZUZtk2rRwZ,1,1,274192,0.0107,audio_features
